
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome"
"HGNC:31553","MIR182","microRNA 182","MIRN182","hsa-mir-182,miR-182","7q32.2"
"HGNC:31554","MIR183","microRNA 183","MIRN183","hsa-mir-183","7q32.2"
"HGNC:31555","MIR184","microRNA 184","MIRN184","hsa-mir-184","15q25.1"
"HGNC:31556","MIR185","microRNA 185","MIRN185","hsa-mir-185","22q11.21"
"HGNC:31557","MIR186","microRNA 186","MIRN186","hsa-mir-186","1p31.1"
"HGNC:31558","MIR187","microRNA 187","MIRN187","hsa-mir-187","18q12.2"
"HGNC:31561","MIR191","microRNA 191","MIRN191","hsa-mir-191","3p21.31"
"HGNC:31569","MIR197","microRNA 197","MIRN197","hsa-mir-197","1p13.3"
"HGNC:31570","MIR198","microRNA 198","MIRN198","hsa-mir-198","3q13.33"
"HGNC:32080","MIR202","microRNA 202","MIRN202","hsa-mir-202","10q26.3"
"HGNC:31583","MIR205","microRNA 205","MIRN205","hsa-mir-205","1q32.2"
"HGNC:31587","MIR210","microRNA 210","MIRN210","hsa-mir-210","11p15.5"
"HGNC:31591","MIR214","microRNA 214","MIRN214","hsa-mir-214","1q24.3"
"HGNC:31594","MIR217","microRNA 217","MIRN217","hsa-mir-217,miR-217","2p16.1"
"HGNC:31601","MIR221","microRNA 221","MIRN221","hsa-mir-221","Xp11.3"
"HGNC:31602","MIR222","microRNA 222","MIRN222","hsa-mir-222","Xp11.3"
"HGNC:31603","MIR223","microRNA 223","MIRN223","hsa-mir-223","Xq12"
"HGNC:31604","MIR224","microRNA 224","MIRN224","hsa-mir-224","Xq28"
"HGNC:31617","MIR296","microRNA 296","MIRN296","hsa-mir-296","20q13.32"
"HGNC:33691","MIR297","microRNA 297","MIRN297","hsa-mir-297","4q25"
"HGNC:33634","MIR298","microRNA 298","MIRN298","hsa-mir-298","20q13.32"
"HGNC:31618","MIR299","microRNA 299","MIRN299","hsa-mir-299","14q32.31"
"HGNC:33636","MIR300","microRNA 300","MIRN300","hsa-mir-300","14q32.31"
"HGNC:35348","MIR302E","microRNA 302e","MIRN302E","hsa-mir-302e","11p15.4"
"HGNC:31767","MIR324","microRNA 324","MIRN324","hsa-mir-324","17p13.1"
"HGNC:31768","MIR325","microRNA 325","MIRN325","hsa-mir-325","Xq21.1"
"HGNC:31769","MIR326","microRNA 326","MIRN326","hsa-mir-326","11q13.4"
"HGNC:31770","MIR328","microRNA 328","MIRN328","hsa-mir-328","16q22.1"
"HGNC:31771","MIR330","microRNA 330","MIRN330","hsa-mir-330","19q13.32"
"HGNC:31772","MIR331","microRNA 331","MIRN331","hsa-mir-331","12q22"
"HGNC:31773","MIR335","microRNA 335","MIRN335","hsa-mir-335","7q32.2"
"HGNC:31774","MIR337","microRNA 337","MIRN337","hsa-mir-337","14q32.2"
"HGNC:31775","MIR338","microRNA 338","MIRN338","hsa-mir-338","17q25.3"
"HGNC:31776","MIR339","microRNA 339","MIRN339","hsa-mir-339","7p22.3"
"HGNC:31777","MIR340","microRNA 340","MIRN340","hsa-mir-340","5q35.3"
"HGNC:31778","MIR342","microRNA 342","MIRN342","hsa-mir-342","14q32.2"
"HGNC:31779","MIR345","microRNA 345","MIRN345","hsa-mir-345","14q32.2"
"HGNC:31780","MIR346","microRNA 346","MIRN346","hsa-mir-346","10q23.2"
"HGNC:31867","MIR361","microRNA 361","MIRN361","hsa-mir-361","Xq21.2"
"HGNC:31781","MIR367","microRNA 367","MIRN367","hsa-mir-367","4q25"
"HGNC:31784","MIR370","microRNA 370","MIRN370","hsa-mir-370","14q32.31"
"HGNC:31868","MIR375","microRNA 375","MIRN375","hsa-mir-375","2q35"
"HGNC:38374","MIR378C","microRNA 378c","","hsa-mir-378c","10q26.3"
"HGNC:41686","MIR378F","microRNA 378f","","hsa-mir-378f","1p36.11"
"HGNC:41785","MIR378G","microRNA 378g","","hsa-mir-378g","1p21.3"
"HGNC:41744","MIR378H","microRNA 378h","","hsa-mir-378h","5q33.2"
"HGNC:41620","MIR378I","microRNA 378i","","hsa-mir-378i","22q13.2"
"HGNC:49979","MIR378J","microRNA 378j","","hsa-mir-378j","17q12"
"HGNC:31876","MIR383","microRNA 383","MIRN383","hsa-mir-383","8p22"
"HGNC:31878","MIR384","microRNA 384","MIRN384","hsa-mir-384","Xq21.1"
"HGNC:32064","MIR412","microRNA 412","MIRN412","hsa-mir-412","14q32.31"
"HGNC:31879","MIR422A","microRNA 422a","MIRN422A","hsa-mir-422a","15q22.31"
"HGNC:31880","MIR423","microRNA 423","MIRN423","hsa-mir-423","17q11.2"
"HGNC:31882","MIR425","microRNA 425","MIRN425","hsa-mir-425","3p21.31"
"HGNC:32027","MIR431","microRNA 431","MIRN431","hsa-mir-431","14q32.2"
"HGNC:32083","MIR432","microRNA 432","MIRN432","hsa-mir-432","14q32.2"
"HGNC:32026","MIR433","microRNA 433","MIRN433","hsa-mir-433","14q32.2"
"HGNC:26069","MIR448","microRNA 448","MIRN448","hsa-mir-448","Xq23"
"HGNC:32054","MIR452","microRNA 452","MIRN452","hsa-mir-452","Xq28"
"HGNC:32344","MIR455","microRNA 455","MIRN455","hsa-mir-455","9q32"
"HGNC:38359","MIR466","microRNA 466","","hsa-mir-466","3p23"
"HGNC:32340","MIR483","microRNA 483","MIRN483","hsa-mir-483","11p15.5"
"HGNC:32341","MIR484","microRNA 484","MIRN484","hsa-mir-484","16p13.11"
"HGNC:32067","MIR485","microRNA 485","MIRN485","hsa-mir-485","14q32.31"
"HGNC:32073","MIR488","microRNA 488","MIRN488","hsa-mir-488","1q25.2"
"HGNC:32074","MIR489","microRNA 489","MIRN489","hsa-mir-489","7q21.3"
"HGNC:32075","MIR490","microRNA 490","MIRN490","hsa-mir-490,miR-490","7q33"
"HGNC:32076","MIR491","microRNA 491","MIRN491","hsa-mir-491","9p21.3"
"HGNC:32081","MIR492","microRNA 492","MIRN492","hsa-mir-492","12q22"
"HGNC:32082","MIR493","microRNA 493","MIRN493","hsa-mir-493","14q32.2"
"HGNC:32092","MIR498","microRNA 498","MIRN498","hsa-mir-498","19q13.42"
"HGNC:32133","MIR499A","microRNA 499a","MIRN499,MIR499","hsa-mir-499","20q11.22"
"HGNC:41640","MIR499B","microRNA 499b","MIR499A","hsa-mir-499a","20q11.22"
"HGNC:32139","MIR504","microRNA 504","MIRN504","hsa-mir-504","Xq26.3"
"HGNC:32140","MIR505","microRNA 505","MIRN505","hsa-mir-505","Xq27.1"
"HGNC:33650","MIR541","microRNA 541","MIRN541","hsa-mir-541","14q32.31"
"HGNC:32534","MIR542","microRNA 542","MIRN542","hsa-mir-542","Xq26.3"
"HGNC:54164","MIR548BC","microRNA 548BC","","hsa-mir-548bc","17q12"
"HGNC:35333","MIR548O","microRNA 548o","MIRN548O","hsa-mir-548o","7q22.1"
"HGNC:32803","MIR549A","microRNA 549a","MIRN549,MIR549","hsa-mir-549","15q25.1"
"HGNC:32808","MIR552","microRNA 552","MIRN552","hsa-mir-552","1p34.3"
"HGNC:32809","MIR553","microRNA 553","MIRN553","hsa-mir-553","1p21.2"
"HGNC:32810","MIR554","microRNA 554","MIRN554","hsa-mir-554","1q21.3"
"HGNC:32811","MIR555","microRNA 555","MIRN555","hsa-mir-555","1q22"
"HGNC:32812","MIR556","microRNA 556","MIRN556","hsa-mir-556","1q23.3"
"HGNC:32813","MIR557","microRNA 557","MIRN557","hsa-mir-557","1q24.2"
"HGNC:32814","MIR558","microRNA 558","MIRN558","hsa-mir-558","2p22.3"
"HGNC:32815","MIR559","microRNA 559","MIRN559","hsa-mir-559","2p21"
"HGNC:32817","MIR561","microRNA 561","MIRN561","hsa-mir-561","2q32.1"
"HGNC:32818","MIR562","microRNA 562","MIRN562","hsa-mir-562","2q37.1"
"HGNC:32819","MIR563","microRNA 563","MIRN563","hsa-mir-563","3p25.1"
"HGNC:32820","MIR564","microRNA 564","MIRN564","hsa-mir-564","3p21.31"
"HGNC:32823","MIR567","microRNA 567","MIRN567","hsa-mir-567","3q13.2"
"HGNC:32824","MIR568","microRNA 568","MIRN568","hsa-mir-568","3q13.31"
"HGNC:32825","MIR569","microRNA 569","MIRN569","hsa-mir-569","3q26.2"
"HGNC:32827","MIR571","microRNA 571","MIRN571","hsa-mir-571","4p16.3"
"HGNC:32828","MIR572","microRNA 572","MIRN572","hsa-mir-572","4p15.33"
"HGNC:32829","MIR573","microRNA 573","MIRN573","hsa-mir-573","4p15.2"
"HGNC:32830","MIR574","microRNA 574","MIRN574","hsa-mir-574","4p14"
"HGNC:32831","MIR575","microRNA 575","MIRN575","hsa-mir-575","4q21.22"
"HGNC:32832","MIR576","microRNA 576","MIRN576","hsa-mir-576","4q25"
"HGNC:32833","MIR577","microRNA 577","MIRN577","hsa-mir-577","4q26"
"HGNC:32834","MIR578","microRNA 578","MIRN578","hsa-mir-578","4q32.3"
"HGNC:32836","MIR580","microRNA 580","MIRN580","hsa-mir-580","5p13.2"
"HGNC:32837","MIR581","microRNA 581","MIRN581","hsa-mir-581","5q11.2"
"HGNC:32838","MIR582","microRNA 582","MIRN582","hsa-mir-582","5q12.1"
"HGNC:32839","MIR583","microRNA 583","MIRN583","hsa-mir-583","5q15"
"HGNC:32840","MIR584","microRNA 584","MIRN584","hsa-mir-584","5q32"
"HGNC:32841","MIR585","microRNA 585","MIRN585","hsa-mir-585","5q35.1"
"HGNC:32842","MIR586","microRNA 586","MIRN586","hsa-mir-586","6p21.1"
"HGNC:32843","MIR587","microRNA 587","MIRN587","hsa-mir-587","6q21"
"HGNC:32844","MIR588","microRNA 588","MIRN588","hsa-mir-588","6q22.32"
"HGNC:32845","MIR589","microRNA 589","MIRN589","hsa-mir-589","7p22.1"
"HGNC:32846","MIR590","microRNA 590","MIRN590","hsa-mir-590","7q11.23"
"HGNC:32847","MIR591","microRNA 591","MIRN591","hsa-mir-591","7q21.3"
"HGNC:32848","MIR592","microRNA 592","MIRN592","hsa-mir-592","7q31.33"
"HGNC:32849","MIR593","microRNA 593","MIRN593","hsa-mir-593","7q32.1"
"HGNC:32851","MIR595","microRNA 595","MIRN595","hsa-mir-595","7q36.3"
"HGNC:32852","MIR596","microRNA 596","MIRN596","hsa-mir-596","8p23.3"
"HGNC:32853","MIR597","microRNA 597","MIRN597","hsa-mir-597","8p23.1"
"HGNC:32854","MIR598","microRNA 598","MIRN598","hsa-mir-598","8p23.1"
"HGNC:32855","MIR599","microRNA 599","MIRN599","hsa-mir-599","8q22.2"
"HGNC:32856","MIR600","microRNA 600","MIRN600","hsa-mir-600","9q33.3"
"HGNC:32857","MIR601","microRNA 601","MIRN601","hsa-mir-601","9q33.3"
"HGNC:32858","MIR602","microRNA 602","MIRN602","hsa-mir-602","9q34.3"
"HGNC:32860","MIR604","microRNA 604","MIRN604","hsa-mir-604","10p11.23"
"HGNC:32861","MIR605","microRNA 605","MIRN605","hsa-mir-605","10q21.1"
"HGNC:32862","MIR606","microRNA 606","MIRN606","hsa-mir-606","10q22.2"
"HGNC:32863","MIR607","microRNA 607","MIRN607","hsa-mir-607","10q24.1"
"HGNC:32864","MIR608","microRNA 608","MIRN608","hsa-mir-608","10q24.31"
"HGNC:32865","MIR609","microRNA 609","MIRN609","hsa-mir-609","10q25.1"
"HGNC:32866","MIR610","microRNA 610","MIRN610","hsa-mir-610","11p14.1"
"HGNC:32867","MIR611","microRNA 611","MIRN611","hsa-mir-611","11q12.2"
"HGNC:32868","MIR612","microRNA 612","MIRN612","hsa-mir-612","11q13.1"
"HGNC:32869","MIR613","microRNA 613","MIRN613","hsa-mir-613","12p13.1"
"HGNC:32870","MIR614","microRNA 614","MIRN614","hsa-mir-614","12p13.1"
"HGNC:32871","MIR615","microRNA 615","MIRN615","hsa-mir-615","12q13.13"
"HGNC:32872","MIR616","microRNA 616","MIRN616","hsa-mir-616","12q13.3"
"HGNC:32873","MIR617","microRNA 617","MIRN617","hsa-mir-617","12q21.31"
"HGNC:32874","MIR618","microRNA 618","MIRN618","hsa-mir-618","12q21.31"
"HGNC:32875","MIR619","microRNA 619","MIRN619","hsa-mir-619","12q24.11"
"HGNC:32876","MIR620","microRNA 620","MIRN620","hsa-mir-620","12q24.21"
"HGNC:32877","MIR621","microRNA 621","MIRN621","hsa-mir-621","13q14.11"
"HGNC:32878","MIR622","microRNA 622","MIRN622","hsa-mir-622","13q31.3"
"HGNC:32879","MIR623","microRNA 623","MIRN623","hsa-mir-623","13q32.3"
"HGNC:32880","MIR624","microRNA 624","MIRN624","hsa-mir-624","14q12"
"HGNC:32881","MIR625","microRNA 625","MIRN625","hsa-mir-625","14q23.3"
"HGNC:32882","MIR626","microRNA 626","MIRN626","hsa-mir-626","15q15.1"
"HGNC:32883","MIR627","microRNA 627","MIRN627","hsa-mir-627","15q15.1"
"HGNC:32884","MIR628","microRNA 628","MIRN628","hsa-mir-628","15q21.3"
"HGNC:32885","MIR629","microRNA 629","MIRN629","hsa-mir-629","15q23"
"HGNC:32886","MIR630","microRNA 630","MIRN630","hsa-mir-630","15q24.1"
"HGNC:32887","MIR631","microRNA 631","MIRN631","hsa-mir-631","15q24.2"
"HGNC:32888","MIR632","microRNA 632","MIRN632","hsa-mir-632","17q11.2"
"HGNC:32889","MIR633","microRNA 633","MIRN633","hsa-mir-633","17q23.2"
"HGNC:32890","MIR634","microRNA 634","MIRN634","hsa-mir-634","17q24.2"
"HGNC:32891","MIR635","microRNA 635","MIRN635","hsa-mir-635","17q24.2"
"HGNC:32892","MIR636","microRNA 636","MIRN636","hsa-mir-636","17q25.1"
"HGNC:32893","MIR637","microRNA 637","MIRN637","hsa-mir-637","19p13.3"
"HGNC:32894","MIR638","microRNA 638","MIRN638","hsa-mir-638","19p13.2"
"HGNC:32895","MIR639","microRNA 639","MIRN639","hsa-mir-639","19p13.12"
"HGNC:32896","MIR640","microRNA 640","MIRN640","hsa-mir-640","19p13.11"
"HGNC:32897","MIR641","microRNA 641","MIRN641","hsa-mir-641","19q13.2"
"HGNC:32898","MIR642A","microRNA 642a","MIRN642,MIR642","hsa-mir-642","19q13.32"
"HGNC:38902","MIR642B","microRNA 642b","","hsa-mir-642b","19q13.32"
"HGNC:32899","MIR643","microRNA 643","MIRN643","hsa-mir-643","19q13.41"
"HGNC:32900","MIR644A","microRNA 644a","MIRN644,MIR644","hsa-mir-644","20q11.22"
"HGNC:32901","MIR645","microRNA 645","MIRN645","hsa-mir-645","20q13.13"
"HGNC:32903","MIR647","microRNA 647","MIRN647","hsa-mir-647","20q13.33"
"HGNC:32904","MIR648","microRNA 648","MIRN648","hsa-mir-648","22q11.21"
"HGNC:32905","MIR649","microRNA 649","MIRN649","hsa-mir-649","22q11.21"
"HGNC:32906","MIR650","microRNA 650","MIRN650","hsa-mir-650","22q11.22"
"HGNC:32907","MIR651","microRNA 651","MIRN651","hsa-mir-651","Xp22.31"
"HGNC:32908","MIR652","microRNA 652","MIRN652","hsa-mir-652","Xq23"
"HGNC:32909","MIR653","microRNA 653","MIRN653","hsa-mir-653","7q21.3"
"HGNC:32910","MIR654","microRNA 654","MIRN654","hsa-mir-654","14q32.31"
"HGNC:32913","MIR657","microRNA 657","MIRN657","hsa-mir-657","17q25.3"
"HGNC:32914","MIR658","microRNA 658","MIRN658","hsa-mir-658","22q13.1"
"HGNC:32915","MIR659","microRNA 659","MIRN659","hsa-mir-659","22q13.1"
"HGNC:32917","MIR661","microRNA 661","MIRN661","hsa-mir-661","8q24.3"
"HGNC:32918","MIR662","microRNA 662","MIRN662","hsa-mir-662","16p13.3"
"HGNC:33662","MIR665","microRNA 665","MIRN665","hsa-mir-665","14q32.2"
"HGNC:33135","MIR668","microRNA 668","MIRN668","hsa-mir-668","14q32.31"
"HGNC:37304","MIR670","microRNA 670","","hsa-mir-670","11p11.2"
"HGNC:33134","MIR671","microRNA 671","MIRN671","hsa-mir-671","7q36.1"
"HGNC:33351","MIR675","microRNA 675","MIRN675","hsa-mir-675","11p15.5"
"HGNC:38880","MIR676","microRNA 676","","hsa-mir-676","Xq13.1"
"HGNC:33654","MIR708","microRNA 708","MIRN708","hsa-mir-708","11q14.1"
"HGNC:37316","MIR711","microRNA 711","","hsa-mir-711","3p21.31"
"HGNC:37317","MIR718","microRNA 718","","hsa-mir-718","Xq28"
"HGNC:33658","MIR744","microRNA 744","MIRN744","hsa-mir-744","17p12"
"HGNC:37307","MIR759","microRNA 759","","hsa-mir-759","13q14.3"
"HGNC:33666","MIR760","microRNA 760","MIRN760","hsa-mir-760","1p22.1"
"HGNC:37305","MIR761","microRNA 761","","hsa-mir-761","1p32.3"
"HGNC:37303","MIR762","microRNA 762","","hsa-mir-762","16p11.2"
"HGNC:37306","MIR764","microRNA 764","","hsa-mir-764","Xq23"
"HGNC:33141","MIR765","microRNA 765","MIRN765","hsa-mir-765","1q23.1"
"HGNC:33139","MIR766","microRNA 766","MIRN766","hsa-mir-766","Xq24"
"HGNC:33136","MIR767","microRNA 767","MIRN767","hsa-mir-767","Xq28"
"HGNC:33138","MIR769","microRNA 769","MIRN769","hsa-mir-769","19q13.32"
"HGNC:33143","MIR770","microRNA 770","MIRN770","hsa-mir-770","14q32.2"
"HGNC:33140","MIR802","microRNA 802","MIRN802","hsa-mir-802","21q22.12"
"HGNC:33663","MIR873","microRNA 873","MIRN873","hsa-mir-873","9p21.1"
"HGNC:33643","MIR874","microRNA 874","MIRN874","hsa-mir-874","5q31.2"
"HGNC:33652","MIR875","microRNA 875","MIRN875","hsa-mir-875","8q22.2"
"HGNC:33653","MIR876","microRNA 876","MIRN876","hsa-mir-876","9p21.1"
"HGNC:33660","MIR877","microRNA 877","MIRN877","hsa-mir-877","6p21.33"
"HGNC:33659","MIR885","microRNA 885","MIRN885","hsa-mir-885","3p25.3"
"HGNC:33661","MIR887","microRNA 887","MIRN887","hsa-mir-887","5p15.1"
"HGNC:33651","MIR889","microRNA 889","MIRN889","hsa-mir-889","14q32.31"
"HGNC:33670","MIR920","microRNA 920","MIRN920","hsa-mir-920","12p12.1"
"HGNC:33671","MIR921","microRNA 921","MIRN921","hsa-mir-921","1q24.1"
"HGNC:33672","MIR922","microRNA 922","MIRN922","hsa-mir-922","3q29"
"HGNC:33674","MIR924","microRNA 924","MIRN924","hsa-mir-924","18q12.3"
"HGNC:33676","MIR933","microRNA 933","MIRN933","hsa-mir-933","2q31.1"
"HGNC:33677","MIR934","microRNA 934","MIRN934","hsa-mir-934","Xq26.3"
"HGNC:33678","MIR935","microRNA 935","MIRN935","hsa-mir-935","19q13.42"
"HGNC:33679","MIR936","microRNA 936","MIRN936","hsa-mir-936","10q25.1"
"HGNC:33680","MIR937","microRNA 937","MIRN937","hsa-mir-937","8q24.3"
"HGNC:33681","MIR938","microRNA 938","MIRN938","hsa-mir-938","10p11.23"
"HGNC:33682","MIR939","microRNA 939","MIRN939","hsa-mir-939","8q24.3"
"HGNC:33683","MIR940","microRNA 940","MIRN940","hsa-mir-940","16p13.3"
"HGNC:33688","MIR942","microRNA 942","MIRN942","hsa-mir-942","1p13.1"
"HGNC:33689","MIR943","microRNA 943","MIRN943","hsa-mir-943","4p16.3"
"HGNC:33690","MIR944","microRNA 944","MIRN944","hsa-mir-944","3q28"
"HGNC:35259","MIR1178","microRNA 1178","MIRN1178","hsa-mir-1178","12q24.23"
"HGNC:35260","MIR1179","microRNA 1179","MIRN1179","hsa-mir-1179","15q26.1"
"HGNC:35261","MIR1180","microRNA 1180","MIRN1180","hsa-mir-1180","17p11.2"
"HGNC:35262","MIR1181","microRNA 1181","MIRN1181","hsa-mir-1181","19p13.2"
"HGNC:35263","MIR1182","microRNA 1182","MIRN1182","hsa-mir-1182","1q42.2"
"HGNC:35264","MIR1183","microRNA 1183","MIRN1183","hsa-mir-1183","7p15.3"
"HGNC:38247","MIR1193","microRNA 1193","","hsa-mir-1193","14q32.31"
"HGNC:50081","MIR1199","microRNA 1199","","hsa-mir-1199","19p13.12"
"HGNC:35266","MIR1200","microRNA 1200","MIRN1200","hsa-mir-1200","7p14.2"
"HGNC:35268","MIR1202","microRNA 1202","MIRN1202","hsa-mir-1202","6q25.3"
"HGNC:35269","MIR1203","microRNA 1203","MIRN1203","hsa-mir-1203","17q21.32"
"HGNC:37059","MIR1204","microRNA 1204","","hsa-mir-1204","8q24.21"
"HGNC:35271","MIR1205","microRNA 1205","MIRN1205","hsa-mir-1205","8q24.21"
"HGNC:35272","MIR1206","microRNA 1206","MIRN1206","hsa-mir-1206","8q24.21"
"HGNC:35273","MIR1207","microRNA 1207","MIRN1207","hsa-mir-1207","8q24.21"
"HGNC:35274","MIR1208","microRNA 1208","MIRN1208","hsa-mir-1208","8q24.21"
"HGNC:33923","MIR1224","microRNA 1224","MIRN1224","hsa-mir-1224","3q27.1"
"HGNC:33931","MIR1225","microRNA 1225","MIRN1225","hsa-mir-1225","16p13.3"
"HGNC:33922","MIR1226","microRNA 1226","MIRN1226","hsa-mir-1226","3p21.31"
"HGNC:33932","MIR1227","microRNA 1227","MIRN1227","hsa-mir-1227","19p13.3"
"HGNC:33928","MIR1228","microRNA 1228","MIRN1228","hsa-mir-1228","12q13.3"
"HGNC:33924","MIR1229","microRNA 1229","MIRN1229","hsa-mir-1229","5q35.3"
"HGNC:33921","MIR1231","microRNA 1231","MIRN1231","hsa-mir-1231","1q32.1"
"HGNC:33926","MIR1234","microRNA 1234","MIRN1234","hsa-mir-1234","8q24.3"
"HGNC:33925","MIR1236","microRNA 1236","MIRN1236","hsa-mir-1236","6p21.33"
"HGNC:33927","MIR1237","microRNA 1237","MIRN1237","hsa-mir-1237","11q13.1"
"HGNC:33933","MIR1238","microRNA 1238","MIRN1238","hsa-mir-1238","19p13.2"
"HGNC:35304","MIR1243","microRNA 1243","MIRN1243","hsa-mir-1243","4q25"
"HGNC:35311","MIR1245A","microRNA 1245a","MIRN1245,MIR1245","hsa-mir-1245","2q32.2"
"HGNC:41794","MIR1245B","microRNA 1245b","","hsa-mir-1245b","2q32.2"
"HGNC:35312","MIR1246","microRNA 1246","MIRN1246","hsa-mir-1246","2q31.1"
"HGNC:35313","MIR1247","microRNA 1247","MIRN1247","hsa-mir-1247","14q32.31"
"HGNC:35314","MIR1248","microRNA 1248","MIRN1248","hsa-mir-1248","3q27.3"
"HGNC:35315","MIR1249","microRNA 1249","MIRN1249","hsa-mir-1249","22q13.31"
"HGNC:35316","MIR1250","microRNA 1250","MIRN1250","hsa-mir-1250","17q25.3"
"HGNC:35317","MIR1251","microRNA 1251","MIRN1251","hsa-mir-1251","12q23.1"
"HGNC:35365","MIR1252","microRNA 1252","MIRN1252","hsa-mir-1252","12q21.2"
"HGNC:35318","MIR1253","microRNA 1253","MIRN1253","hsa-mir-1253","17p13.3"
"HGNC:35321","MIR1256","microRNA 1256","MIRN1256","hsa-mir-1256","1p36.12"
"HGNC:35322","MIR1257","microRNA 1257","MIRN1257","hsa-mir-1257","20q13.33"
"HGNC:35323","MIR1258","microRNA 1258","MIRN1258","hsa-mir-1258","2q31.3"
"HGNC:35325","MIR1260A","microRNA 1260a","MIRN1260,MIR1260","hsa-mir-1260","14q24.3"
"HGNC:38258","MIR1260B","microRNA 1260b","","hsa-mir-1260b","11q21"
"HGNC:35327","MIR1261","microRNA 1261","MIRN1261","hsa-mir-1261","11q14.3"
"HGNC:35328","MIR1262","microRNA 1262","MIRN1262","hsa-mir-1262","1p31.3"
"HGNC:35329","MIR1263","microRNA 1263","MIRN1263","hsa-mir-1263","3q26.1"
"HGNC:35332","MIR1265","microRNA 1265","MIRN1265","hsa-mir-1265","10p13"
"HGNC:35334","MIR1266","microRNA 1266","MIRN1266","hsa-mir-1266","15q21.2"
"HGNC:35335","MIR1267","microRNA 1267","MIRN1267","hsa-mir-1267","13q33.3"
"HGNC:35336","MIR1268A","microRNA 1268a","MIRN1268,MIR1268","hsa-mir-1268","15q11.2"
"HGNC:41581","MIR1268B","microRNA 1268b","","hsa-mir-1268b","17q25.3"
"HGNC:35337","MIR1269A","microRNA 1269a","MIRN1269,MIR1269","hsa-mir-1269","4q13.2"
"HGNC:41787","MIR1269B","microRNA 1269b","","hsa-mir-1269b","17p12"
"HGNC:35338","MIR1270","microRNA 1270","MIRN1270,MIR1270-2,MIR1270-1","hsa-mir-1270,hsa-mir-1270-2","19p12"
"HGNC:35252","MIR1271","microRNA 1271","MIRN1271","hsa-mir-1271","5q35.2"
"HGNC:35339","MIR1272","microRNA 1272","MIRN1272","hsa-mir-1272","15q22.31"
"HGNC:38173","MIR1273C","microRNA 1273c","","hsa-mir-1273c","6q25.2"
"HGNC:49973","MIR1273H","microRNA 1273h","","hsa-mir-1273h","16p12.1"
"HGNC:35346","MIR1275","microRNA 1275","MIRN1275","hsa-mir-1275","6p21.31"
"HGNC:35347","MIR1276","microRNA 1276","MIRN1276","hsa-mir-1276","15q25.3"
"HGNC:35350","MIR1277","microRNA 1277","MIRN1277","hsa-mir-1277","Xq24"
"HGNC:35356","MIR1278","microRNA 1278","MIRN1278","hsa-mir-1278","1q31.2"
"HGNC:35357","MIR1279","microRNA 1279","MIRN1279","hsa-mir-1279","12q15"
"HGNC:35359","MIR1281","microRNA 1281","MIRN1281","hsa-mir-1281","22q13.2"
"HGNC:35360","MIR1282","microRNA 1282","MIRN1282","hsa-mir-1282","15q15.3"
"HGNC:35362","MIR1284","microRNA 1284","MIRN1284","hsa-mir-1284","3p13"
"HGNC:35279","MIR1286","microRNA 1286","MIRN1286","hsa-mir-1286","22q11.21"
"HGNC:35280","MIR1287","microRNA 1287","MIRN1287","hsa-mir-1287","10q24.2"
"HGNC:35363","MIR1288","microRNA 1288","MIRN1288","hsa-mir-1288","17p11.2"
"HGNC:35283","MIR1290","microRNA 1290","MIRN1290","hsa-mir-1290","1p36.13"
